UID	Country	City	Place name	Official place	Place number	Free bikes	Total bikes	Place type	Comment	Setpoint bikes	Bike racks	Show in customer map	Battery voltage	Solar voltage	Location marking	Online	Time stamp	Creation date
"31234411"	"OVO Bikes Glasgow"	"Glasgow"	"St Andrews Drive @ Maxwell Drive"	"1"	"8235"	"3"	"5"	"Standard place"	""	"12"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 07:34	
"320265586"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46940"	"0"	""	"0"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 07:25	
"320262264"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 47880"	"0"	""	"1"	"1"	"E-Single Bike Station"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 07:16	
"264300"	"OVO Bikes Glasgow"	"Glasgow"	"Scottish Event Campus (formerly S.E.C.C)"	"1"	"8415"	"9"	"12"	"Standard place"	"    "	"12"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 07:01	
"41822435"	"OVO Bikes Glasgow"	"Glasgow"	"Glasgow Science Centre"	"1"	"8426"	"18"	"19"	"Standard place"	""	"8"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-26 06:54	
"3812694"	"OVO Bikes Glasgow"	"Glasgow"	"Langside Hall - ELECTRIC"	"1"	"8454"	"8"	"8"	"E-bike station"	"54524,54497,54439,54412  "	"8"	"4"	"1"	"13,99"	"0,00"	"smart_sign"	"0"	2023-11-26 06:44	
"349458"	"OVO Bikes Glasgow"	"Glasgow"	"Eglinton Toll - ELECTRIC"	"1"	"8446"	"0"	"3"	"E-bike station"	"54572,54556,54535,54504 22.08.23 19:08:38:  22.08.23 19:08:38: Terminal Offline 01.09.23 16:18:46:  01.09.23 16:18:46: Terminal Offline 31.10.23 8:02:00:  31.10.23 8:02:00: Rack Problem"	"4"	"6"	"1"	"13,57"	"0,00"	"smart_sign"	"1"	2023-11-26 06:42	
"42613965"	"OVO Bikes Glasgow"	"Glasgow"	"Anniesland Library"	"1"	"8214"	"16"	"16"	"E-bike station"	"53665,53619,53612,53638   21.10.23 20:44:01:  21.10.23 20:44:01: Vandalism"	"8"	"8"	"1"	"13,88"	"0,00"	"smart_sign"	"1"	2023-11-26 06:29	
"105741985"	"OVO Bikes Glasgow"	"Glasgow"	"Anderston Railway Station"	"1"	"8312"	"3"	"4"	"Standard place"	""	"6"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-26 06:27	
"31234355"	"OVO Bikes Glasgow"	"Glasgow"	"Broomhill"	"1"	"8233"	"8"	"9"	"E-bike station"	""	"11"	"4"	"1"	"12,14"	"0,00"	"smart_sign"	"1"	2023-11-26 06:16	
"6269629"	"OVO Bikes Glasgow"	"Glasgow"	"Battlefield - ELECTRIC"	"1"	"8466"	"7"	"8"	"Standard place"	"54416,54477,54500,54559  "	"10"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-26 06:16	
